Inicial X	Inicial Y	Inicial Z	Extremidade X	Extremidade Y	Extremidade Z
1264.6716	665.4211	-0.1000	1264.6716	663.4211	-0.1000
1266.6716	665.0211	-0.1000	1264.6716	665.0211	-0.1000
1266.6716	665.4211	-0.1000	1264.6716	665.4211	-0.1000
1266.6716	664.6211	-0.1000	1264.6716	664.6211	-0.1000
1266.6716	663.8211	-0.1000	1264.6716	663.8211	-0.1000
1266.6716	664.2211	-0.1000	1264.6716	664.2211	-0.1000
1264.6716	665.4211	-0.1000	1264.6716	665.4211	-6.1000
1264.6716	663.4236	-0.1000	1264.6716	663.4236	-6.1000
1264.6716	663.4211	-0.1000	1266.6716	663.4211	-0.1000
1266.6716	663.4435	-0.1000	1266.6716	665.4211	-0.1000
1266.6716	665.4211	-0.1000	1266.6716	665.4211	-6.1000
1266.6716	663.4435	-0.1000	1266.6716	663.4435	-6.1000
